name,level,office,district,town,state,photo,website,cycle,lat,lng
Joan Presley,county,County Commissioner,,McMinnville,Tennessee,,,2026,35.683404,-85.7699816
Dustin Vigneault,state,State Representative,,Haverhill,New Hampshire,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DustinVigneault2024.jpg,,2026,44.0342717,-72.0634434
Charles Tilburg,state,State Representative,,Buxton,Maine,https://images.squarespace-cdn.com/content/v1/69336a297adefc01edd6325f/f9be4079-c292-4e52-9aea-89e74266692e/_B5_5624+%281%29.jpg,https://www.charlestilburg.com/,2026,43.612404,-70.540878
Charly Ray,state,State Senate,,Bayview Township,Wisconsin,https://images.squarespace-cdn.com/content/v1/690bb6530aefb420928b5119/d49f138c-6e38-4512-8f22-3e2b8249b5b2/Charly-Ray-Logobg.png,https://www.rayforwi.com/,2026,46.4710241,-91.1983175
Kirstan Watson,state,State Representative,,Arundel,Maine,https://vote-usa.org/Image.aspx?Id=MEWatsonKirstanL&Col=Profile300&Def=Profile300,,2026,43.3825857,-70.4778292
Ali Simpson,state,State Representative,,Ten Mile,Tennessee,https://images.squarespace-cdn.com/content/v1/68cc659f41895b54f0820899/ea76691e-95d8-400e-b752-ba30a2a3b139/AliSimpson.jpeg,https://www.simpson4tn32.com/,2026,35.6667394,-84.6646604
Allen Davis,state,State Representative,,Dublin,New Hampshire,,,2026,42.9059403,-72.061978
Madison Cook,state,State Representative,,Belfast,Maine,https://images.squarespace-cdn.com/content/v1/6979096572d66041dee9282b/9ffa7dfa-163c-4b74-9206-7d3df3792506/IMG_5200.jpeg,https://www.madisonformaine.com/,2026,44.4261759,-69.0065207
Reggie Spaulding,state,State Representative,,Missoula,Montana,https://images.squarespace-cdn.com/content/v1/68b4e9b1dcf6053c8e1ced45/48c104aa-048c-415a-b4f6-af719c45c507/L_shade+copy.png,https://reggiespauldingformt.org/,2026,46.8701049,-113.995267
Hannah Cole,state,State Representative,,Teresita,Oklahoma,,,2026,36.1095351,-94.9927351
Gaston Bathalon,state,State Senate,,Troy,Vermont,https://images.squarespace-cdn.com/content/v1/68f4fb78c0b14a57ff5c1aba/01e61fb3-5b5f-4765-b493-e79df0ba436c/gaston+bathalon+%28Email+Header%29+%281%29.png,https://www.bathalonforvermont.com/,2026,44.9037718,-72.4058578
Melanie Miller,state,State Representative,,White Plains,Georgia,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Melanie_Miller_20240808_095048.jpeg,https://www.melaniemillerforga.com/,2026,33.4720779,-83.035429
Chris Conroy,state,State Representative,,Weare,New Hampshire,,,2026,43.094966,-71.73111
Azalea Cormier,state,State Representative,,Buckfield,Maine,,,2026,44.2899492,-70.3653651
Brittany Newton,state,State Representative,,Whiteville,North Carolina,,,2026,34.3217345,-78.703148
Iva Markicevic Daley,state,State Representative,,Sandy Hook,Kentucky,https://www.forwardky.com/content/images/size/w1200/2025/12/IvaDaley_featured.jpg,https://www.ivaforkentucky.com/,2026,38.0864739,-83.1262839
Steven Gupton,local,School Board,,Louisburg,North Carolina,https://www.ednc.org/wp-content/uploads/2020/04/steven-gup.jpeg,https://stevengupton.com/,2026,36.0990393,-78.301106
Bobbi Cummiskey,local,City Council,,Bend,Oregon,,,2026,44.0581728,-121.3153096
Derek Hopkins,state,State Representative,District 11,,North Carolina,,,Not sure yet!,35.595363,-82.5508407
Laura Sirot,state,State Senate,District 31,,,,,2026,40.7980976,-81.9397733
Whitney Echenique,state,State Representative,District 2,,,,,2026,34.7691867,-84.9702475
Matthew Townsend,state,State Representative,District 67,,,,,2026,44.588511,-69.599075
Thomas O'Donnell,state,State Representative,District 87,,,,,2026,40.7301997,-91.9621393
Zeppelin Zeerip,state,State Representative,District 4,,,,,2026,40.7146758,-111.300734
Jamie Collins,county,County Commissioner,Deschutes County,,,,,2026,44.0581728,-121.3153096
Barbara Gooby,state,State Senate,District 1,,,,,2026,32.0790074,-81.0921335
Diana Spangler,state,State Representative,District 16,,,,,2026,33.9237141,-84.8407732
Will Rivera,local,City Council,,Oneonta,,,,2025,42.453492,-75.0629531
Kenneth Matthews,state,State Senate,District 4,,,,,2026,38.4325896,-82.0201368
Marta Beck,state,State Representative,District 98,,,,,2026,39.2495466,-77.9586082
Randall Putz,state,State Assembly,District 34,,,,,2026,34.2440587,-116.91018
Bennie Taylor,state,State Representative,District 42,,,,,2026,36.1623886,-85.4997057
Dusty Jones,state,State Representative,District 49,,,,,2026,33.9984099,-96.7198974
Nathan Brewer,state,State Senate,District 8,,,,,2026,35.4396625,-95.9865145
Daniel Horoshak,state,State Representative,District 7B,,,,,2026,47.462761,-92.538824
David Trumble,state,State Senate,District 8,,,,,2026,43.094966,-71.73111
La Rhonda Odom,state,State Representative,District 48,,,,,2026,33.0576295,-89.5875764
Siobhan McIntyre,state,State Representative,District 79,,,,,2026,37.2397486,-96.9955919
John Bartlett,state,State Representative,District 33,,,,,2026,40.4511541,-85.369972
Marc Bourassa,state,State Representative,Grafton District 10,,,,,2026,43.5912709,-71.7361557
Jarvus Turnley,state,State Representative,District 66,,,,,2026,36.5092119,-86.8849984
