USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
AL	01001	State House District 1	906847460	49076749	350.136	18.949	34.944345	-87.810394                                                                                                                  
AL	01002	State House District 2	1170900686	116513274	452.087	44.986	34.86308	-87.245293                                                                                                                 
AL	01003	State House District 3	352106021	28583926	135.949	11.036	34.776431	-87.762492                                                                                                                  
AL	01004	State House District 4	406592385	45845310	156.986	17.701	34.590766	-86.872384                                                                                                                  
AL	01005	State House District 5	499361575	30546205	192.805	11.794	34.815977	-86.934487                                                                                                                  
AL	01006	State House District 6	376373764	1676075	145.319	0.647	34.901105	-86.761309                                                                                                                    
AL	01007	State House District 7	2158074349	106727033	833.237	41.208	34.550681	-87.333734                                                                                                                
AL	01008	State House District 8	244914624	2246049	94.562	0.867	34.446178	-87.076989                                                                                                                     
AL	01009	State House District 9	1032736645	16953438	398.742	6.546	34.419399	-86.782893                                                                                                                  
AL	01010	State House District 10	262920957	14757458	101.514	5.698	34.637658	-86.681539                                                                                                                  
AL	01011	State House District 11	1248610495	11878822	482.091	4.586	34.160105	-86.611793                                                                                                                 
AL	01012	State House District 12	1041348977	42994447	402.067	16.6	34.074386	-86.949927                                                                                                                  
AL	01013	State House District 13	1068573069	17597634	412.578	6.794	33.865483	-87.236009                                                                                                                 
AL	01014	State House District 14	2783251543	69118506	1074.619	26.687	33.996522	-87.328029                                                                                                               
AL	01015	State House District 15	243388109	3154583	93.973	1.218	33.308372	-86.98345                                                                                                                     
AL	01016	State House District 16	3508432419	63274803	1354.613	24.431	33.562296	-87.511179                                                                                                               
AL	01017	State House District 17	3530681232	5035168	1363.204	1.944	33.976853	-87.991871                                                                                                                 
AL	01018	State House District 18	2727869478	80284196	1053.236	30.998	34.540704	-87.873754                                                                                                               
AL	01019	State House District 19	164019412	360263	63.328	0.139	34.825969	-86.653705                                                                                                                     
AL	01020	State House District 20	167638068	2930519	64.725	1.131	34.654154	-86.526262                                                                                                                    
AL	01021	State House District 21	235868290	1013782	91.069	0.391	34.868478	-86.561849                                                                                                                    
AL	01022	State House District 22	1209000283	8901312	466.798	3.437	34.751115	-86.381392                                                                                                                  
AL	01023	State House District 23	2439055349	125019053	941.725	48.27	34.781574	-85.95233                                                                                                                 
AL	01024	State House District 24	1312677248	3095404	506.828	1.195	34.538911	-85.728542                                                                                                                  
AL	01025	State House District 25	95739390	566126	36.965	0.219	34.745832	-86.72851                                                                                                                       
AL	01026	State House District 26	412909930	2689352	159.425	1.038	34.231058	-86.236723                                                                                                                   
AL	01027	State House District 27	1052644037	145786139	406.428	56.288	34.411479	-86.331263                                                                                                               
AL	01028	State House District 28	302090545	7072229	116.638	2.731	33.991143	-86.095618                                                                                                                   
AL	01029	State House District 29	1227305789	15411854	473.865	5.951	33.978835	-85.884568                                                                                                                 
AL	01030	State House District 30	1180926337	40840599	455.958	15.769	33.900756	-86.201083                                                                                                                
AL	01031	State House District 31	1097602471	86310052	423.787	33.324	32.634535	-86.143826                                                                                                                
AL	01032	State House District 32	670147745	23327949	258.746	9.007	33.526162	-86.113784                                                                                                                  
AL	01033	State House District 33	2603433738	60159064	1005.191	23.228	33.043671	-86.253903                                                                                                               
AL	01034	State House District 34	1105858128	11814351	426.974	4.562	33.916075	-86.5972                                                                                                                   
AL	01035	State House District 35	2079981252	11109561	803.085	4.289	33.339359	-85.902588                                                                                                                 
AL	01036	State House District 36	576155401	41841367	222.455	16.155	33.710037	-85.874812                                                                                                                 
