USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
AL	01001	State Senate District 1	2640872683	171753262	1019.647	66.314	34.897169	-87.44539                                                                                                               
AL	01002	State Senate District 2	353315068	1820551	136.416	0.703	34.783262	-86.734871                                                                                                                   
AL	01003	State Senate District 3	1864396575	107917902	719.848	41.667	34.487272	-86.866269                                                                                                               
AL	01004	State Senate District 4	5413303393	104564546	2090.088	40.373	34.128017	-87.360304                                                                                                              
AL	01005	State Senate District 5	7446377351	104856507	2875.062	40.485	33.683158	-87.598985                                                                                                              
AL	01006	State Senate District 6	5157734580	201318392	1991.413	77.729	34.563588	-87.615303                                                                                                              
AL	01007	State Senate District 7	671423026	2985248	259.238	1.153	34.815192	-86.601546                                                                                                                   
AL	01008	State Senate District 8	4732114549	132776760	1827.08	51.265	34.719925	-85.9741                                                                                                                 
AL	01009	State Senate District 9	2338896646	168180128	903.053	64.935	34.371216	-86.371411                                                                                                               
AL	01010	State Senate District 10	3495547262	156249428	1349.638	60.328	34.164059	-85.833464                                                                                                             
AL	01011	State Senate District 11	2465902740	108629765	952.09	41.942	33.436729	-86.367406                                                                                                               
AL	01012	State Senate District 12	2530771155	34118549	977.136	13.173	33.604999	-85.94175                                                                                                                
AL	01013	State Senate District 13	6774082471	46902613	2615.488	18.109	33.205368	-85.526068                                                                                                              
AL	01014	State Senate District 14	3022468475	30078445	1166.982	11.613	33.026341	-86.961188                                                                                                              
AL	01015	State Senate District 15	982456583	27876881	379.329	10.763	33.420576	-86.563097                                                                                                                
AL	01016	State Senate District 16	216768088	4210427	83.695	1.626	33.378612	-86.780518                                                                                                                   
AL	01017	State Senate District 17	2600441586	34092525	1004.036	13.163	33.865666	-86.50732                                                                                                               
AL	01018	State Senate District 18	167424066	207182	64.643	0.08	33.48251	-86.824272                                                                                                                      
AL	01019	State Senate District 19	798151752	5479541	308.168	2.116	33.437676	-87.006033                                                                                                                  
AL	01020	State Senate District 20	360254980	857670	139.095	0.331	33.600151	-86.752236                                                                                                                   
AL	01021	State Senate District 21	3476700093	39981681	1342.361	15.437	33.249272	-87.861292                                                                                                              
AL	01022	State Senate District 22	8429797737	152501171	3254.763	58.881	31.093649	-87.724078                                                                                                             
AL	01023	State Senate District 23	18631227924	192285623	7193.558	74.242	31.943334	-87.226722                                                                                                            
AL	01024	State Senate District 24	11163272005	140058647	4310.164	54.077	32.491039	-87.972395                                                                                                            
AL	01025	State Senate District 25	4262506937	104017946	1645.763	40.162	32.144092	-86.190083                                                                                                             
AL	01026	State Senate District 26	733846256	24874680	283.34	9.604	32.315116	-86.303098                                                                                                                  
AL	01027	State Senate District 27	2832131651	97206668	1093.492	37.532	32.720653	-85.613536                                                                                                              
AL	01028	State Senate District 28	8420148062	98987726	3251.037	38.219	31.993932	-85.450209                                                                                                              
AL	01029	State Senate District 29	3399781598	16643079	1312.663	6.426	31.152774	-85.592659                                                                                                               
AL	01030	State Senate District 30	4662257671	130491929	1800.108	50.383	32.739219	-86.467846                                                                                                             
AL	01031	State Senate District 31	7022682996	44012559	2711.473	16.993	31.461601	-86.109675                                                                                                              
AL	01032	State Senate District 32	910459427	982206639	351.53	379.232	30.377369	-87.822414                                                                                                               
AL	01033	State Senate District 33	417614902	96247908	161.242	37.162	30.731454	-88.023262                                                                                                                
AL	01034	State Senate District 34	1935804112	35756196	747.418	13.806	30.917492	-88.219194                                                                                                               
AL	01035	State Senate District 35	854627546	981664934	329.974	379.023	30.405808	-88.202117                                                                                                              
AK	0200A	State Senate District A	80740349240	39598336171	31174.024	15289.004	57.378398	-134.279042                                                                                                      
AK	0200B	State Senate District B	17991298497	3758462255	6946.479	1451.15	58.67459	-134.955862                                                                                                           
AK	0200C	State Senate District C	42142644184	30767831133	16271.367	11879.527	60.720017	-146.726113                                                                                                      
AK	0200D	State Senate District D	11029706622	2642250152	4258.594	1020.179	60.525115	-150.112563                                                                                                         
AK	0200E	State Senate District E	1639371932	221416466	632.965	85.489	60.972565	-149.084716                                                                                                              
AK	0200F	State Senate District F	56703995	55486	21.894	0.021	61.141442	-149.764215                                                                                                                      
AK	0200G	State Senate District G	26333524	36177	10.167	0.014	61.171854	-149.884805                                                                                                                      
AK	0200H	State Senate District H	69844069	243683183	26.967	94.087	61.164811	-150.177803                                                                                                                 
AK	0200I	State Senate District I	106676578	29581870	41.188	11.422	61.253462	-149.810741                                                                                                                 
AK	0200J	State Senate District J	19083615	175004	7.368	0.068	61.19668	-149.801385                                                                                                                       
AK	0200K	State Senate District K	14578295	102891	5.629	0.04	61.204192	-149.749416                                                                                                                       
AK	0200L	State Senate District L	2520450474	139023958	973.151	53.677	61.299272	-149.021202                                                                                                              
AK	0200M	State Senate District M	672875561	152281754	259.799	58.796	61.553966	-149.142499                                                                                                               
AK	0200N	State Senate District N	190623541	14288416	73.6	5.517	61.59852	-149.505522                                                                                                                     
AK	0200O	State Senate District O	109892058150	2675529213	42429.563	1033.028	62.537153	-149.405074                                                                                                       
AK	0200P	State Senate District P	129118756	2695422	49.853	1.041	64.826515	-147.604622                                                                                                                   
AK	0200Q	State Senate District Q	11036532051	74986089	4261.229	28.952	64.881496	-145.177064                                                                                                             
AK	0200R	State Senate District R	505478821689	7363695108	195166.472	2843.139	64.941081	-149.582752                                                                                                      
AK	0200S	State Senate District S	278881527878	109831653152	107676.764	42406.24	58.684165	-160.283257                                                                                                    
AK	0200T	State Senate District T	416870373092	47194442750	160954.558	18221.877	67.718061	-157.506441                                                                                                    
AZ	04001	State Senate District 1	21036647201	11466936	8122.295	4.427	34.631071	-112.577225                                                                                                              
AZ	04002	State Senate District 2	201560999	234122	77.823	0.09	33.682305	-112.075145                                                                                                                     
AZ	04003	State Senate District 3	3824081073	33699423	1476.486	13.011	33.807163	-111.559692                                                                                                              
AZ	04004	State Senate District 4	260371153	1453406	100.53	0.561	33.587699	-111.957682                                                                                                                   
AZ	04005	State Senate District 5	117796950	278784	45.482	0.108	33.522072	-112.060109                                                                                                                    
AZ	04006	State Senate District 6	99862977362	214562408	38557.313	82.843	35.541933	-110.731846                                                                                                           
AZ	04007	State Senate District 7	27811409856	129908400	10738.046	50.158	34.187769	-111.016689                                                                                                           
AZ	04008	State Senate District 8	343972555	8760671	132.809	3.383	33.493434	-111.843986                                                                                                                  
AZ	04009	State Senate District 9	101389093	397452	39.147	0.153	33.407362	-111.821724                                                                                                                    
AZ	04010	State Senate District 10	219040386	764194	84.572	0.295	33.437196	-111.673681                                                                                                                   
AZ	04011	State Senate District 11	274827824	359456	106.112	0.139	33.37955	-112.084863                                                                                                                   
AZ	04012	State Senate District 12	333404863	1421103	128.728	0.549	33.287771	-111.983149                                                                                                                 
AZ	04013	State Senate District 13	163258697	634230	63.035	0.245	33.274076	-111.829606                                                                                                                   
AZ	04014	State Senate District 14	173508606	178320	66.992	0.069	33.295092	-111.735282                                                                                                                   
AZ	04015	State Senate District 15	579716216	147666	223.83	0.057	33.237485	-111.565203                                                                                                                   
AZ	04016	State Senate District 16	7767680965	8118900	2999.119	3.135	32.788527	-111.591709                                                                                                               
AZ	04017	State Senate District 17	3256591497	2386182	1257.377	0.921	32.418271	-110.813743                                                                                                               
AZ	04018	State Senate District 18	246772071	644614	95.279	0.249	32.300148	-110.912761                                                                                                                   
AZ	04019	State Senate District 19	30552549386	44311119	11796.406	17.109	32.263066	-109.787765                                                                                                           
AZ	04020	State Senate District 20	224479302	46922	86.672	0.018	32.201344	-111.01386                                                                                                                     
AZ	04021	State Senate District 21	5467303095	6161714	2110.938	2.379	31.620717	-110.980169                                                                                                               
AZ	04022	State Senate District 22	286143780	1532909	110.481	0.592	33.418248	-112.282971                                                                                                                 
AZ	04023	State Senate District 23	29292146855	4768102	11309.762	1.841	32.389771	-112.690562                                                                                                             
