name	level	office	district	town	state	photo	website	cycle	lat	lng
Ali Simpson	state	State Representative	District 32		Tennessee	https://dirtroadcode.github.io/dirtroad-map/photos/ali-simpson.webp	https://www.simpson4tn32.com/	2026	35.845413	-84.499862
Allen Davis	state	State Representative			New Hampshire			2026	42.9059403	-72.061978
Angie Hanson	state	State Senator	District 23		Minnesota	https://dirtroadcode.github.io/dirtroad-map/photos/angie-hanson.webp	https://www.angiehansonmnsenate.com/	2026	43.722266	-93.324456
Austin Meives	state	State Representative	District 23		Indiana			2026		
Azalea Cormier	state	State Representative	District 80		Maine	https://dirtroadcode.github.io/dirtroad-map/photos/azalea-cormier.webp	https://www.azafor.me/	2026	44.169875	-70.447978
Barbara Gooby	state	State Senate	District 1		Georgia	https://dirtroadcode.github.io/dirtroad-map/photos/barbara-gooby.webp	https://www.gooby4ga.com/	2026	31.909226	-81.332619
Benjamin Schauer	local	City Council	At-Large	Dunlap	Iowa	https://dirtroadcode.github.io/dirtroad-map/photos/benjamin-schauer.webp	https://www.facebook.com/p/Benjamin-Schauer-for-Iowa-61556432197875/	2025	41.854329	-95.601966
Bennie Taylor	state	State Representative	District 42		Tennessee	https://dirtroadcode.github.io/dirtroad-map/photos/bennie-taylor.webp	https://www.facebook.com/p/Bennie-Taylor-for-TN-State-House-District-42-61558634100993/	2026	36.150628	-85.592195
Blaine Sefton	state	State Senate	District 14		Indiana			2026		
Bobbi Jean Cummiskey	local	City Council		Bend	Oregon	https://dirtroadcode.github.io/dirtroad-map/photos/bobbi-jean-cummiskey.webp		2026	44.0581728	-121.3153096
Brian Deer	state	State Senate	District 17		Ohio			2026		
Brittany Newton	state	State Representative	District 46		North Carolina	https://dirtroadcode.github.io/dirtroad-map/photos/brittany-newton.webp	https://www.instagram.com/reel/DVMHCivjj9Q/	2026	34.371359	-78.753102
Charles Tilburg	state	State Representative	District 137		Maine	https://dirtroadcode.github.io/dirtroad-map/photos/charles-tilburg.webp	https://www.charlestilburg.com/	2026	43.62842	-70.575645
Charly Ray	state	State Senate	District 25		Wisconsin	https://dirtroadcode.github.io/dirtroad-map/photos/charly-ray.webp	https://www.rayforwi.com/	2026	46.128717	-91.457453
Chris Conroy	state	State Representative	Hillsborough 28		New Hampshire	https://dirtroadcode.github.io/dirtroad-map/photos/chris-conroy.webp		2026	43.078287	-71.703508
Christina Baisden	state	State Delegate	District 44		West Virginia			2026		
Chrystal Roll	state	State Senate	District 16		Nevada			2026		
Cynthia Johnson	state	State Representative	District 148		Georgia			2026		
Dalton Bradford	state	State Representative	District 13		Montana			2026		
Daniel Horoshak	state	State Representative	District 7B		Minnesota	https://dirtroadcode.github.io/dirtroad-map/photos/daniel-horoshak.webp	https://www.facebook.com/profile.php?id=61586029288332	2026	47.422327	-92.585322
